Title20,Title,Country,SCIE,SSCI,AHCI,ESCI
TRAIT SIGNAL,TRAITEMENT DU SIGNAL,CANADA,X,,,
TRAKYA U J NAT SCI,TRAKYA UNIVERSITY JOURNAL OF NATURAL SCIENCES,TURKIYE,,,,X
TRAMES-J HUMANIT SOC,TRAMES-JOURNAL OF THE HUMANITIES AND SOCIAL SCIENCES,ESTONIA,,X,X,
TRANS,TRANS-TRANS-REGIONAL AND -NATIONAL STUDIES OF SOUTHEAST ASIA,UNITED STATES,,,,X
TRANS COMB,TRANSACTIONS ON COMBINATORICS,IRAN,,,,X
TRANS DATA PRIV,TRANSACTIONS ON DATA PRIVACY,SPAIN,,,,X
TRANS ELECTR ELECTRO,TRANSACTIONS ON ELECTRICAL AND ELECTRONIC MATERIALS,SOUTH KOREA,,,,X
TRANS MARIT SCI-TOMS,TRANSACTIONS ON MARITIME SCIENCE-TOMS,CROATIA,,,,X
TRANSBOUND EMERG DIS,TRANSBOUNDARY AND EMERGING DISEASES,GERMANY,X,,,
TRANSCR-AUSTIN,TRANSCRIPTION-AUSTIN,UNITED STATES,,,,X
TRANSCULT PSYCHIATRY,TRANSCULTURAL PSYCHIATRY,ENGLAND,,X,,
TRANSCULT STUD,TRANSCULTURAL STUDIES,GERMANY,,,,X
TRANSFER-LONDON,TRANSFER-EUROPEAN REVIEW OF LABOUR AND RESEARCH,ENGLAND,,X,,
TRANSFERS,TRANSFERS-INTERDISCIPLINARY JOURNAL OF MOBILITY STUDIES,ENGLAND,,,,X
TRANSFORM ANTHROPOL,TRANSFORMING ANTHROPOLOGY,UNITED STATES,,,,X
TRANSFORM BUS ECON,TRANSFORMATIONS IN BUSINESS & ECONOMICS,LITHUANIA,,X,,
TRANSFORM GOV-PEOPLE,TRANSFORMING GOVERNMENT- PEOPLE PROCESS AND POLICY,ENGLAND,,,,X
TRANSFORM GROUPS,TRANSFORMATION GROUPS,UNITED STATES,X,,,
TRANS-FORM-ACAO,TRANS-FORM-ACAO,BRAZIL,,,X,
TRANSFORMATION,TRANSFORMATION-CRITICAL PERSPECTIVES ON SOUTHERN AFRICA,SOUTH AFRICA,,,,X
TRANSFORM-INT J HOLI,TRANSFORMATION-AN INTERNATIONAL JOURNAL OF HOLISTIC MISSION STUDIES,ENGLAND,,,,X
TRANSFUS APHER SCI,TRANSFUSION AND APHERESIS SCIENCE,ENGLAND,X,,,
TRANSFUS CLIN BIOL,TRANSFUSION CLINIQUE ET BIOLOGIQUE,FRANCE,X,,,
TRANSFUS MED HEMOTH,TRANSFUSION MEDICINE AND HEMOTHERAPY,SWITZERLAND,X,,,
TRANSFUS MED REV,TRANSFUSION MEDICINE REVIEWS,UNITED STATES,X,,,
TRANSFUSION,TRANSFUSION,UNITED STATES,X,,,
TRANSFUSION MED,TRANSFUSION MEDICINE,ENGLAND,X,,,
TRANSFUSIONSMEDIZIN,TRANSFUSIONSMEDIZIN,GERMANY,,,,X
TRANSGENDER HEALTH,TRANSGENDER HEALTH,UNITED STATES,X,X,,
TRANSGENIC RES,TRANSGENIC RESEARCH,NETHERLANDS,X,,,
TRANSINFORMACAO,TRANSINFORMACAO,BRAZIL,,X,,
TRANSIT METAL CHEM,TRANSITION METAL CHEMISTRY,NETHERLANDS,X,,,
TRANSITION,TRANSITION,UNITED STATES,,,,X
TRANSL ANDROL UROL,TRANSLATIONAL ANDROLOGY AND UROLOGY,PEOPLES R CHINA,X,,,
TRANSL ANIM SCI,TRANSLATIONAL ANIMAL SCIENCE,UNITED STATES,,,,X
TRANSL BEHAV MED,TRANSLATIONAL BEHAVIORAL MEDICINE,SWITZERLAND,X,X,,
TRANSL BREAST CANCER,TRANSLATIONAL BREAST CANCER RESEARCH,HONG KONG,,,,X
TRANSL CANCER RES,TRANSLATIONAL CANCER RESEARCH,PEOPLES R CHINA,X,,,
TRANSL CLIN PHARMACO,TRANSLATIONAL AND CLINICAL PHARMACOLOGY,SOUTH KOREA,,,,X
TRANSL GASTROENT HEP,TRANSLATIONAL GASTROENTEROLOGY AND HEPATOLOGY,HONG KONG,,,,X
TRANSL INTERPRET,TRANSLATION & INTERPRETING-THE INTERNATIONAL JOURNAL OF TRANSLATION AND INTERPRETING,AUSTRALIA,,,,X
TRANSL INTERPRET STU,TRANSLATION AND INTERPRETING STUDIES,NETHERLANDS,,X,X,
TRANSL ISS PSYCH SCI,TRANSLATIONAL ISSUES IN PSYCHOLOGICAL SCIENCE,UNITED STATES,,,,X
TRANSL J AM COLL SPO,TRANSLATIONAL JOURNAL OF THE AMERICAN COLLEGE OF SPORTS MEDICINE,UNITED STATES,,,,X
TRANSL LIT,TRANSLATION AND LITERATURE,SCOTLAND,,,X,
TRANSL LUNG CANCER R,TRANSLATIONAL LUNG CANCER RESEARCH,PEOPLES R CHINA,X,,,
TRANSL MED UNISA,TRANSLATIONAL MEDICINE AT UNISA,ITALY,,,,X
TRANSL NEURODEGENER,TRANSLATIONAL NEURODEGENERATION,PEOPLES R CHINA,X,,,
TRANSL NEUROSCI,TRANSLATIONAL NEUROSCIENCE,POLAND,X,,,
TRANSL ONCOL,TRANSLATIONAL ONCOLOGY,UNITED STATES,X,,,
TRANSL PEDIATR,TRANSLATIONAL PEDIATRICS,HONG KONG,X,,,
TRANSL PSYCHIAT,TRANSLATIONAL PSYCHIATRY,ENGLAND,X,,,
TRANSL RES,TRANSLATIONAL RESEARCH,UNITED STATES,X,,,
TRANSL SPACES,TRANSLATION SPACES,NETHERLANDS,,,,X
TRANSL SPORTS MED,TRANSLATIONAL SPORTS MEDICINE,DENMARK,,,,X
TRANSL STROKE RES,TRANSLATIONAL STROKE RESEARCH,UNITED STATES,X,,,
TRANSL STUD,TRANSLATION STUDIES,ENGLAND,,X,X,
TRANSL TRANSL MULT C,TRANSLATION AND TRANSLANGUAGING IN MULTILINGUAL CONTEXTS,NETHERLANDS,,,,X
TRANSL VIS SCI TECHN,TRANSLATIONAL VISION SCIENCE & TECHNOLOGY,UNITED STATES,X,,,
TRANSLATION REV,TRANSLATION REVIEW,UNITED STATES,,,X,
TRANSLATOR,TRANSLATOR,ENGLAND,,X,X,
TRANSNATL CORP REV,TRANSNATIONAL CORPORATIONS REVIEW,CANADA,,,,X
TRANSNATL ENVIRON LA,TRANSNATIONAL ENVIRONMENTAL LAW,ENGLAND,,X,,
TRANSNATL SCRE,TRANSNATIONAL SCREENS,ENGLAND,,,,X
TRANSNAV,TRANSNAV-INTERNATIONAL JOURNAL ON MARINE NAVIGATION AND SAFETY OF SEA TRANSPORTATION,POLAND,,,,X
TRANSP DEV ECON,TRANSPORTATION IN DEVELOPING ECONOMIES,INDIA,,,,X
TRANSP GEOTECH,TRANSPORTATION GEOTECHNICS,NETHERLANDS,X,,,
TRANSP INFRASTRUCT G,TRANSPORTATION INFRASTRUCTURE GEOTECHNOLOGY,UNITED STATES,,,,X
TRANSP LETT,TRANSPORTATION LETTERS-THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH,UNITED STATES,X,X,,
TRANSP PROBL,TRANSPORT PROBLEMS,POLAND,,,,X
TRANSP RES INTERDISC,TRANSPORTATION RESEARCH INTERDISCIPLINARY PERSPECTIVES,ENGLAND,,,,X
TRANSP SAFETY ENV,TRANSPORTATION SAFETY AND ENVIRONMENT,PEOPLES R CHINA,,,,X
TRANSP TELECOMMUN J,TRANSPORT AND TELECOMMUNICATION JOURNAL,LATVIA,,,,X
TRANS-PASANDO FRONT,TRANS-PASANDO FRONTERAS,COLOMBIA,,,,X
TRANSPL CELL THER,TRANSPLANTATION AND CELLULAR THERAPY,UNITED STATES,X,,,
TRANSPL IMMUNOL,TRANSPLANT IMMUNOLOGY,NETHERLANDS,X,,,
TRANSPL INFECT DIS,TRANSPLANT INFECTIOUS DISEASE,DENMARK,X,,,
TRANSPL INT,TRANSPLANT INTERNATIONAL,DENMARK,X,,,
TRANSPL P,TRANSPLANTATION PROCEEDINGS,UNITED STATES,X,,,
TRANSPL RES RISK MAN,TRANSPLANT RESEARCH AND RISK MANAGEMENT,NEW ZEALAND,,,,X
TRANSPLANT DIRECT,TRANSPLANTATION DIRECT,UNITED STATES,,,,X
TRANSPLANT REV-ORLAN,TRANSPLANTATION REVIEWS,UNITED STATES,X,,,
TRANSPLANTATION,TRANSPLANTATION,UNITED STATES,X,,,
TRANSPORT J,TRANSPORTATION JOURNAL,UNITED STATES,,X,,
TRANSPORT PLAN TECHN,TRANSPORTATION PLANNING AND TECHNOLOGY,ENGLAND,X,,,
TRANSPORT POLICY,TRANSPORT POLICY,UNITED STATES,,X,,
TRANSPORT POROUS MED,TRANSPORT IN POROUS MEDIA,NETHERLANDS,X,,,
TRANSPORT RES A-POL,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,ENGLAND,X,X,,
TRANSPORT RES B-METH,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,ENGLAND,X,X,,
TRANSPORT RES C-EMER,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,ENGLAND,X,,,
TRANSPORT RES D-TR E,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,ENGLAND,X,X,,
TRANSPORT RES E-LOG,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,ENGLAND,X,X,,
TRANSPORT RES F-TRAF,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,ENGLAND,,X,,
TRANSPORT RES REC,TRANSPORTATION RESEARCH RECORD,UNITED STATES,X,,,
TRANSPORT REV,TRANSPORT REVIEWS,ENGLAND,,X,,
TRANSPORT SCI,TRANSPORTATION SCIENCE,UNITED STATES,X,X,,
TRANSPORTATION,TRANSPORTATION,NETHERLANDS,X,X,,
TRANSPORTMETRICA A,TRANSPORTMETRICA A-TRANSPORT SCIENCE,PEOPLES R CHINA,X,X,,
TRANSPORTMETRICA B,TRANSPORTMETRICA B-TRANSPORT DYNAMICS,PEOPLES R CHINA,X,X,,
TRANSPORT-VILNIUS,TRANSPORT,LITHUANIA,X,,,
TRANS-REV LITT GEN C,TRANS-REVUE DE LITTERATURE GENERALE ET COMPAREE,FRANCE,,,,X
TRANS-REV TRAD,TRANS-REVISTA DE TRADUCTOLOGIA,SPAIN,,,,X
TRANS-REV TRANSCULT,TRANS-REVISTA TRANSCULTURAL DE MUSICA,SPAIN,,,,X
TRANSYLV REV,TRANSYLVANIAN REVIEW,ROMANIA,,,X,
TRANSYLV REV ADM SCI,TRANSYLVANIAN REVIEW OF ADMINISTRATIVE SCIENCES,ROMANIA,,X,,
TRASHUMANTE,TRASHUMANTE-REVISTA AMERICANA DE HISTORIA SOCIAL,COLOMBIA,,,,X
TRAUMA,TRAUMA-ENGLAND,ENGLAND,,,,X
TRAUMA MON,TRAUMA MONTHLY,IRAN,,,,X
TRAUMA SURG ACUTE CA,TRAUMA SURGERY & ACUTE CARE OPEN,ENGLAND,,,,X
TRAUMA VIOLENCE ABUS,TRAUMA VIOLENCE & ABUSE,UNITED STATES,,X,,
TRAUMATOLOGY,TRAUMATOLOGY,UNITED STATES,,,,X
TRAV GENRE SOC,TRAVAIL GENRE ET SOCIETES,FRANCE,,X,,
TRAV HUMAIN,TRAVAIL HUMAIN,FRANCE,X,X,,
TRAVEL BEHAV SOC,TRAVEL BEHAVIOUR AND SOCIETY,NETHERLANDS,,X,,
TRAVEL MED INFECT DI,TRAVEL MEDICINE AND INFECTIOUS DISEASE,ENGLAND,X,,,
TRAVMATOL ORTOP ROSS,TRAVMATOLOGIYA I ORTOPEDIYA ROSSII,RUSSIA,,,,X
TREB SOCIOLING CATAL,TREBALLS DE SOCIOLINGUISTICA CATALANA,SPAIN,,,,X
TREE GENET GENOMES,TREE GENETICS & GENOMES,GERMANY,X,,,
TREE PHYSIOL,TREE PHYSIOLOGY,CANADA,X,,,
TREE-RING RES,TREE-RING RESEARCH,UNITED STATES,X,,,
TREES FOREST PEOPLE,TREES FORESTS AND PEOPLE,NETHERLANDS,,,,X
TREES-STRUCT FUNCT,TREES-STRUCTURE AND FUNCTION,GERMANY,X,,,
TREMOR OTHER HYPERK,TREMOR AND OTHER HYPERKINETIC MOVEMENTS,ENGLAND,,,,X
TREND UROL MENS HEAL,TRENDS IN UROLOGY & MENS HEALTH,ENGLAND,,,,X
TRENDS ANAESTH CRIT,TRENDS IN ANAESTHESIA AND CRITICAL CARE,ENGLAND,,,,X
TRENDS BIOCHEM SCI,TRENDS IN BIOCHEMICAL SCIENCES,NETHERLANDS,X,,,
TRENDS BIOTECHNOL,TRENDS IN BIOTECHNOLOGY,NETHERLANDS,X,,,
TRENDS CANCER,TRENDS IN CANCER,UNITED STATES,X,,,
TRENDS CARDIOVAS MED,TRENDS IN CARDIOVASCULAR MEDICINE,UNITED STATES,X,,,
TRENDS CELL BIOL,TRENDS IN CELL BIOLOGY,ENGLAND,X,,,
TRENDS CHEM,TRENDS IN CHEMISTRY,UNITED STATES,X,,,
TRENDS CLASS,TRENDS IN CLASSICS,GERMANY,,,X,
TRENDS COGN SCI,TRENDS IN COGNITIVE SCIENCES,ENGLAND,X,X,,
TRENDS ECOL EVOL,TRENDS IN ECOLOGY & EVOLUTION,ENGLAND,X,,,
TRENDS ENDOCRIN MET,TRENDS IN ENDOCRINOLOGY AND METABOLISM,UNITED STATES,X,,,
TRENDS ENVIRON ANAL,TRENDS IN ENVIRONMENTAL ANALYTICAL CHEMISTRY,NETHERLANDS,X,,,
TRENDS FOOD SCI TECH,TRENDS IN FOOD SCIENCE & TECHNOLOGY,ENGLAND,X,,,
TRENDS GENET,TRENDS IN GENETICS,NETHERLANDS,X,,,
TRENDS GLYCOSCI GLYC,TRENDS IN GLYCOSCIENCE AND GLYCOTECHNOLOGY,JAPAN,X,,,
TRENDS HEAR,TRENDS IN HEARING,UNITED STATES,X,,,
TRENDS IMMUNOL,TRENDS IN IMMUNOLOGY,UNITED STATES,X,,,
TRENDS ISS CRIME CRI,TRENDS AND ISSUES IN CRIME AND CRIMINAL JUSTICE,AUSTRALIA,,,,X
TRENDS MICROBIOL,TRENDS IN MICROBIOLOGY,UNITED STATES,X,,,
TRENDS MOL MED,TRENDS IN MOLECULAR MEDICINE,ENGLAND,X,,,
TRENDS NEUROSCI,TRENDS IN NEUROSCIENCES,NETHERLANDS,X,,,
TRENDS NEUROSCI EDUC,TRENDS IN NEUROSCIENCE AND EDUCATION,NETHERLANDS,,,,X
TRENDS ORGAN CRIME,TRENDS IN ORGANIZED CRIME,UNITED STATES,,X,,
TRENDS PARASITOL,TRENDS IN PARASITOLOGY,UNITED STATES,X,,,
TRENDS PEDIATR,TRENDS IN PEDIATRICS,TURKIYE,,,,X
TRENDS PHARMACOL SCI,TRENDS IN PHARMACOLOGICAL SCIENCES,NETHERLANDS,X,,,
TRENDS PLANT SCI,TRENDS IN PLANT SCIENCE,ENGLAND,X,,,
TRENDS PSYCHIATR PSY,TRENDS IN PSYCHIATRY AND PSYCHOTHERAPY,BRAZIL,,,,X
TRIA,TRIA-TERRITORIO DELLA RICERCA SU INSEDIAMENTI E AMBIENTE,ITALY,,,,X
TRIALS,TRIALS,ENGLAND,X,,,
TRIBOL INT,TRIBOLOGY INTERNATIONAL,ENGLAND,X,,,
TRIBOL LETT,TRIBOLOGY LETTERS,UNITED STATES,X,,,
TRIBOL ONLINE,TRIBOLOGY ONLINE,JAPAN,,,,X
TRIBOL T,TRIBOLOGY TRANSACTIONS,UNITED STATES,X,,,
TRIBOL-MATER SURF IN,TRIBOLOGY-MATERIALS SURFACES & INTERFACES,ENGLAND,,,,X
TRIMEST ECON,TRIMESTRE ECONOMICO,MEXICO,,X,,
TRIPLE HELIX-NETH,TRIPLE HELIX,NETHERLANDS,,,,X
TRIPLEC-COMMUN CAPIT,TRIPLEC-COMMUNICATION CAPITALISM & CRITIQUE,AUSTRIA,,,,X
TRIPODOS,TRIPODOS,SPAIN,,,,X
TROP AGRIC,TROPICAL AGRICULTURE,TRINIDAD & TOBAGO,,,,X
TROP ANIM HEALTH PRO,TROPICAL ANIMAL HEALTH AND PRODUCTION,NETHERLANDS,X,,,
TROP ANIM SCI J,TROPICAL ANIMAL SCIENCE JOURNAL,INDONESIA,,,,X
TROP BIOMED,TROPICAL BIOMEDICINE,MALAYSIA,X,,,
TROP CONSERV SCI,TROPICAL CONSERVATION SCIENCE,UNITED STATES,X,,,
TROP CYCLONE RES REV,TROPICAL CYCLONE RESEARCH AND REVIEW,PEOPLES R CHINA,,,,X
TROP DIS TRAVEL MED,TROPICAL DISEASES TRAVEL MEDICINE AND VACCINES,ENGLAND,,,,X
TROP DOCT,TROPICAL DOCTOR,ENGLAND,X,,,
TROP ECOL,TROPICAL ECOLOGY,INDIA,X,,,
TROP GRASSL-FORRAJES,TROPICAL GRASSLANDS-FORRAJES TROPICALES,COLOMBIA,X,,,
TROP LIFE SCI RES,TROPICAL LIFE SCIENCES RESEARCH,MALAYSIA,,,,X
TROP MED HEALTH,TROPICAL MEDICINE AND HEALTH,JAPAN,X,,,
TROP MED INFECT DIS,TROPICAL MEDICINE AND INFECTIOUS DISEASE,SWITZERLAND,X,,,
TROP MED INT HEALTH,TROPICAL MEDICINE & INTERNATIONAL HEALTH,ENGLAND,X,,,
TROP PLANT BIOL,TROPICAL PLANT BIOLOGY,UNITED STATES,X,,,
TROP PLANT PATHOL,TROPICAL PLANT PATHOLOGY,BRAZIL,X,,,
TROP ZOOL,TROPICAL ZOOLOGY,ITALY,X,,,
TROPICS,TROPICS,JAPAN,,,,X
TRUMPETER,TRUMPETER-JOURNAL OF ECOSOPHY,CANADA,,,,X
TRUSTS TRUSTEES,TRUSTS & TRUSTEES,ENGLAND,,,,X
TSINGHUA CHINA LAW R,TSINGHUA CHINA LAW REVIEW,PEOPLES R CHINA,,,,X
TSINGHUA SCI TECHNOL,TSINGHUA SCIENCE AND TECHNOLOGY,PEOPLES R CHINA,X,,,
TSQ-TRANSGENDER STUD,TSQ-TRANSGENDER STUDIES QUARTERLY,UNITED STATES,,,,X
TSUKUBA J MATH,TSUKUBA JOURNAL OF MATHEMATICS,JAPAN,,,,X
TUBERC RESPIR DIS,TUBERCULOSIS AND RESPIRATORY DISEASES,SOUTH KOREA,,,,X
TUBERCULOSIS,TUBERCULOSIS,ENGLAND,X,,,
TUBERK TORAK,TUBERKULOZ VE TORAKS-TUBERCULOSIS AND THORAX,TURKIYE,,,,X
TUEXENIA,TUEXENIA,GERMANY,X,,,
TULSA STUD WOMEN LIT,TULSA STUDIES IN WOMENS LITERATURE,UNITED STATES,,,X,
TUMORI J,TUMORI JOURNAL,ENGLAND,X,,,
TUMOUR VIRUS RES,TUMOUR VIRUS RESEARCH,NETHERLANDS,,,,X
TUNA-AJALOOKULT AJAK,TUNA-AJALOOKULTUURI AJAKIRI,ESTONIA,,,X,
TUNGSTEN-SINGAPORE,TUNGSTEN,PEOPLES R CHINA,,,,X
TUNING J HIGH EDUC,TUNING JOURNAL FOR HIGHER EDUCATION,SPAIN,,,,X
TUNISIAN J MATH,TUNISIAN JOURNAL OF MATHEMATICS,UNITED STATES,,,,X
TUNN UNDERGR SP TECH,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,ENGLAND,X,,,
TURCZANINOWIA,TURCZANINOWIA,RUSSIA,,,,X
TURK ARCH OTORHINOL,TURKISH ARCHIVES OF OTORHINOLARYNGOLOGY,TURKIYE,,,,X
TURK ARCH PEDIATR,TURKISH ARCHIVES OF PEDIATRICS,TURKIYE,,,,X
TURK DERMATOL DERG,TURK DERMATOLOJI DERGISI-TURKISH JOURNAL OF DERMATOLOGY,TURKIYE,,,,X
TURK DILI EDEB DERG,TURK DILI VE EDEBIYATI DERGISI-JOURNAL OF TURKISH LANGUAGE AND LITERATURE,TURKIYE,,,,X
TURK ENTOMOL DERG-TU,TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY,TURKIYE,X,,,
TURK GOGUS KALP DAMA,TURK GOGUS KALP DAMAR CERRAHISI DERGISI-TURKISH JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,TURKIYE,X,,,
TURK HIST REV,TURKISH HISTORICAL REVIEW,NETHERLANDS,,,X,
TURK ILET ARASTIRMAL,TURKIYE ILETISIM ARASTIRMALARI DERGISI-TURKISH REVIEW OF COMMUNICATION STUDIES,TURKIYE,,,,X
TURK J AGRIC FOR,TURKISH JOURNAL OF AGRICULTURE AND FORESTRY,TURKIYE,X,,,
TURK J ANAESTHESIOL,TURKISH JOURNAL OF ANAESTHESIOLOGY AND REANIMATION,TURKIYE,,,,X
TURK J BIOCHEM,TURKISH JOURNAL OF BIOCHEMISTRY-TURK BIYOKIMYA DERGISI,TURKIYE,X,,,
TURK J BIOL,TURKISH JOURNAL OF BIOLOGY,TURKIYE,X,,,
TURK J BOT,TURKISH JOURNAL OF BOTANY,TURKIYE,X,,,
TURK J BUS ETHICS,TURKISH JOURNAL OF BUSINESS ETHICS,TURKIYE,,,,X
TURK J CHEM,TURKISH JOURNAL OF CHEMISTRY,TURKIYE,X,,,
TURK J CIV ENG,TURKISH JOURNAL OF CIVIL ENGINEERING,TURKIYE,X,,,
TURK J EARTH SCI,TURKISH JOURNAL OF EARTH SCIENCES,TURKIYE,X,,,
TURK J EDUC,TURKISH JOURNAL OF EDUCATION,TURKIYE,,,,X
TURK J ELECTR ENG CO,TURKISH JOURNAL OF ELECTRICAL ENGINEERING AND COMPUTER SCIENCES,TURKIYE,X,,,
TURK J EMERG MED,TURKISH JOURNAL OF EMERGENCY MEDICINE,INDIA,,,,X
TURK J ENDOCRINOL ME,TURKISH JOURNAL OF ENDOCRINOLOGY AND METABOLISM,TURKIYE,,,,X
TURK J FIELD CROPS,TURKISH JOURNAL OF FIELD CROPS,TURKIYE,X,,,
TURK J FISH AQUAT SC,TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES,TURKIYE,X,,,
TURK J GASTROENTEROL,TURKISH JOURNAL OF GASTROENTEROLOGY,TURKIYE,X,,,
TURK J GERIATR,TURKISH JOURNAL OF GERIATRICS-TURK GERIATRI DERGISI,TURKIYE,X,X,,
TURK J HEMATOL,TURKISH JOURNAL OF HEMATOLOGY,TURKIYE,X,,,
TURK J HIST,TURKISH JOURNAL OF HISTORY-TARIH DERGISI,TURKIYE,,,,X
TURK J IMMUNOL,TURKISH JOURNAL OF IMMUNOLOGY,TURKIYE,,,,X
TURK J INTENS CARE,TURKISH JOURNAL OF INTENSIVE CARE-TURK YOGUN BAKIM DERGISI,TURKIYE,,,,X
TURK J ISLAMIC ECON,TURKISH JOURNAL OF ISLAMIC ECONOMICS-TUJISE,TURKIYE,,,,X
TURK J MATH,TURKISH JOURNAL OF MATHEMATICS,TURKIYE,X,,,
TURK J MED SCI,TURKISH JOURNAL OF MEDICAL SCIENCES,TURKIYE,X,,,
TURK J NEPHROL,TURKISH JOURNAL OF NEPHROLOGY,TURKIYE,,,,X
TURK J NEUROL,TURKISH JOURNAL OF NEUROLOGY,TURKIYE,,,,X
TURK J OBSTET GYNECO,TURKISH JOURNAL OF OBSTETRICS AND GYNECOLOGY,TURKIYE,,,,X
TURK J ORTHOD,TURKISH JOURNAL OF ORTHODONTICS,TURKIYE,,,,X
TURK J PATHOL,TURKISH JOURNAL OF PATHOLOGY,TURKIYE,,,,X
TURK J PH MED REHAB,TURKISH JOURNAL OF PHYSICAL MEDICINE AND REHABILITATION,TURKIYE,X,,,
TURK J PHARM SCI,TURKISH JOURNAL OF PHARMACEUTICAL SCIENCES,TURKIYE,,,,X
TURK J PHYS,TURKISH JOURNAL OF PHYSICS,TURKIYE,,,,X
TURK J PHYSIOTHER R,TURKISH JOURNAL OF PHYSIOTHERAPY REHABILITATION-TURK FIZYOTERAPI VE REHABILITASYON DERGISI,TURKIYE,,,,X
TURK J PLAST SURG,TURKISH JOURNAL OF PLASTIC SURGERY,TURKIYE,,,,X
TURK J SURG,TURKISH JOURNAL OF SURGERY,TURKIYE,,,,X
TURK J UROL,TURKISH JOURNAL OF UROLOGY,TURKIYE,,,,X
TURK J VET ANIM SCI,TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES,TURKIYE,X,,,
TURK J ZOOL,TURKISH JOURNAL OF ZOOLOGY,TURKIYE,X,,,
TURK JEOL BULT,TURKIYE JEOLOJI BULTENI-GEOLOGICAL BULLETIN OF TURKEY,TURKIYE,,,,X
TURK KARDIYOL DERN A,TURK KARDIYOLOJI DERNEGI ARSIVI-ARCHIVES OF THE TURKISH SOCIETY OF CARDIOLOGY,TURKIYE,,,,X
TURK LANG,TURKIC LANGUAGES,GERMANY,,,X,
TURK LIBRARIANSH,TURKISH LIBRARIANSHIP,TURKIYE,,,,X
TURK NEUROSURG,TURKISH NEUROSURGERY,TURKIYE,X,,,
TURK OFTAMOL DERGISI,TURK OFTALMOLOJI DERGISI-TURKISH JOURNAL OF OPHTHALMOLOGY,TURKIYE,,,,X
TURK ONCOL DERG,TURK ONKOLOJI DERGISI-TURKISH JOURNAL OF ONCOLOGY,TURKIYE,,,,X
TURK ONLINE J DISTAN,TURKISH ONLINE JOURNAL OF DISTANCE EDUCATION,TURKIYE,,,,X
TURK OSTEOPOROZ DERG,TURK OSTEOPOROZ DERGISI-TURKISH JOURNAL OF OSTEOPOROSIS,TURKIYE,,,,X
TURK POLICY Q,TURKISH POLICY QUARTERLY,TURKIYE,,,,X
TURK PSIKIYATR DERG,TURK PSIKIYATRI DERGISI,TURKIYE,,X,,
TURK PSIKOL DERG,TURK PSIKOLOJI DERGISI,TURKIYE,,X,,
TURK STUD,TURKISH STUDIES,ENGLAND,,X,,
TURK THORAC J,TURKISH THORACIC JOURNAL,TURKIYE,,,,X
TURKDERM-TURK ARCH D,TURKDERM-TURKISH ARCHIVES OF DERMATOLOGY AND VENEROLOGY,TURKIYE,,,,X
TURKISH J PEDIATR,TURKISH JOURNAL OF PEDIATRICS,TURKIYE,X,,,
TUSCULUM,TUSCULUM-CASOPIS ZA SOLINSKE TEME,CROATIA,,,,X
TWENT CENTURY BR HIS,TWENTIETH CENTURY BRITISH HISTORY,ENGLAND,,,X,
TWENT-CENTURY CHINA,TWENTIETH-CENTURY CHINA,UNITED STATES,,,,X
TWENT-CENTURY MUSIC,TWENTIETH-CENTURY MUSIC,ENGLAND,,,X,
TWENTIETH CENT LIT,TWENTIETH CENTURY LITERATURE,UNITED STATES,,,X,
TWIN RES HUM GENET,TWIN RESEARCH AND HUMAN GENETICS,AUSTRALIA,X,,,
TWMS J APPL ENG MATH,TWMS JOURNAL OF APPLIED AND ENGINEERING MATHEMATICS,TURKIYE,,,,X
TWMS J PURE APPL MAT,TWMS JOURNAL OF PURE AND APPLIED MATHEMATICS,AZERBAIJAN,X,,,
TYDSKR GEESTESWET,TYDSKRIF VIR GEESTESWETENSKAPPE,SOUTH AFRICA,,X,,
TYDSKR LETT,TYDSKRIF VIR LETTERKUNDE,SOUTH AFRICA,,,X,
TYDSKR SUID-AFR REG,TYDSKRIF VIR DIE SUID-AFRIKAANSE REG,SOUTH AFRICA,,,,X
TYNDALE BULL,TYNDALE BULLETIN,ENGLAND,,,X,
TZINTZUN,TZINTZUN-REVISTA DE ESTUDIOS HISTORICOS,MEXICO,,,,X
TZU CHI MED J,TZU CHI MEDICAL JOURNAL,TAIWAN,,,,X
U BOLOGNA LAW REV,UNIVERSITY OF BOLOGNA LAW REVIEW,ITALY,,,,X
U CHICAGO LAW REV,UNIVERSITY OF CHICAGO LAW REVIEW,UNITED STATES,,X,,
U CINCI LAW REV,UNIVERSITY OF CINCINNATI LAW REVIEW,UNITED STATES,,X,,
U ILLINOIS LAW REV,UNIVERSITY OF ILLINOIS LAW REVIEW,UNITED STATES,,X,,
